Comunidad Autónoma,Center,Measure,Energy Saved,Money Saved,Investment,Pay back period
Andalucía,Algeciras,Sistema de Gestión Energética,1651,665,3000,4.5
Andalucía,Algeciras,Instalación regletas programables,580,234,171,0.7
Andalucía,Algeciras,Instalación Solar térmica,1280,516,3150,6.1
Andalucía,Cádiz,Promover la cultura energética,998,336,250,0.7
Andalucía,Cádiz,Sistema de Gestión Energética,1497,499,2650,5.3
Andalucía,Cádiz,Instalación cortina de aire,2120,706,1950,2.8
Andalucía,Córdoba,Promover la cultura energética,1014,337,250,0.7
Andalucía,Córdoba,Reducción del consumo remanente,1651,548,320,0.6
Andalucía,Córdoba,Cambio Iluminacion LED,687,229,720,3.15
Andalucía,Córdoba,Sistema de Gestión Energética,2027,675,2681,4
Andalucía,Écija,Sistema de Gestión Energética,1224,404,2150,5.3
Andalucía,Écija,Promover la cultura energética,612,202,250,1.2
Andalucía,Écija,Instalación cortina de aire,1380,456,2400,5.26
Andalucía,Fuengirola,Promover la cultura energética,1197,402,250,0.6
Andalucía,Fuengirola,Reducción del consumo remanente,2992,994,320,0.3
Andalucía,Fuengirola,Cambio Iluminacion LED,1026,341,1420,4.17
Andalucía,Fuengirola,Eliminación de la energía reactiva,0,66,1090,16.5
Andalucía,Fuengirola,Sistema de Gestión Energética,2393,795,2495,3.1
Andalucía,Jerez de la Frontera,Promover la cultura energética,783,263,250,1
Andalucía,Jerez de la Frontera,Instalación cortina de aire,1775,586,2400,4.1
Andalucía,Jerez de la Frontera,Sistema de Gestión Energética,1567,503,2150,4.3
Andalucía,Jerez de la Frontera,Eliminación de la energía reactiva,0,1105,2540,2.3
Andalucía,Málaga,Sistema de Gestión Energética,3186,1021,2495,2.4
Andalucía,Málaga,Promover la cultura energética,2124,714,250,0.4
Andalucía,Málaga,Reducción del consumo remanente,5311,1752,268,0.2
Andalucía,Sevilla,Sistema de Gestión Energética,29223,7331,8500,1.2
Andalucía,Sevilla,Promover la cultura energética,7306,1833,0,0
Andalucía,Sevilla,Instalación de Variadores de frecuencia en bombas hidráulicas,16876,4481,18740,4.2
Andalucía,Sevilla,Mejora en el control de la iluminación,42331,11239,26784,2.4
Andalucía,Sevilla,Cambio Iluminacion LED,94217,25015,38475,1.5
Andalucía,Sevilla,Instalación Fotovoltaica,40680,10801,57420,5.3
Aragón,Zaragoza-Cogullada,Sistema de Gestión Energética,1477,490,1495,3
Aragón,Zaragoza-Cogullada,Instalación de temporizador digital en termo eléctrico,1572,522,60,0.1
Aragón,Zaragoza-Cogullada,Regulación de la temperatura de consigna,2397,796,0,0
Aragón,Zaragoza-Cogullada,Reducción del consumo remanente,2385,792,160,0.2
Aragón,Teruel,Ajuste O2 en caldera gasóleo C,18265,1794,0,0.1
Aragón,Teruel,Instalación de temporizador digital en termo eléctrico,1206,404,70,0.2
Aragón,Teruel,Regulación de la temperatura de consigna,6558,975,0,0
Aragón,Teruel,Sistema de Gestión Energética,3080,674,1500,2.2
Aragón,Utebo,Instalación Fotovoltaica,2985,1026,1800,1.8
Aragón,Utebo,Instalación de temporizador digital en termo eléctrico,279,93,70,0.7
Aragón,Utebo,Regulación de la temperatura de consigna,337,117,0,0
Aragón,Utebo,Sistema de Gestión Energética,358,123,1500,12.2
Aragón,Zaragoza,Instalación Fotovoltaica,13458,4510,8550,1.9
Aragón,Zaragoza,Instalación de temporizador digital en termo eléctrico,5201,1743,1200,0.2
Aragón,Zaragoza,Regulación de la temperatura de consigna,1065,357,0,0
